gene;identifier;mycobrowser_url
atpE;Rv1305;https://mycobrowser.epfl.ch/genes/Rv1305
Rv0678;Rv0678;https://mycobrowser.epfl.ch/genes/Rv0678
tlyA;Rv1694;https://mycobrowser.epfl.ch/genes/Rv1694
ddn;Rv3547;https://mycobrowser.epfl.ch/genes/Rv3547
embB;Rv3795;https://mycobrowser.epfl.ch/genes/Rv3795
ethA;Rv3854c;https://mycobrowser.epfl.ch/genes/Rv3854c
inhA;Rv1484;https://mycobrowser.epfl.ch/genes/Rv1484
katG;Rv1908c;https://mycobrowser.epfl.ch/genes/Rv1908c
gyrA;Rv0006;https://mycobrowser.epfl.ch/genes/Rv0006
gyrB;Rv0005;https://mycobrowser.epfl.ch/genes/Rv0005
rplC;Rv0701;https://mycobrowser.epfl.ch/genes/Rv0701
pncA;Rv2043c;https://mycobrowser.epfl.ch/genes/Rv2043c
rpoB;Rv0667;https://mycobrowser.epfl.ch/genes/Rv0667
gid;Rv3919c;https://mycobrowser.epfl.ch/genes/Rv3919c
rpsL;Rv0682;https://mycobrowser.epfl.ch/genes/Rv0682
